DISTRITOS;CONTRATADA_DIST;APONTADA_DIST;APONTADA_POR_CONTRATADA_DIST;PORCENTAGEM_DIST
AGUA RASA;49690;47286;-2404;95,16%
ALTO DE PINHEIROS;52712;43608;-9104;82,73%
ANHANGUERA;87330;80772;-6558;92,49%
ARICANDUVA;57880;57128;-752;98,70%
ARTUR ALVIM;113608;95166;-18442;83,77%
BARRA FUNDA;11200;9600;-1600;85,71%
BELA VISTA;52290;4300;-47990;8,22%
BELEM;36170;34128;-2042;94,35%
BOM RETIRO;36048;3648;-32400;10,12%
BRAS;16120;15560;-560;96,53%
BRASILANDIA;625974;375120;-250854;59,93%
BUTANTA;85334;67594;-17740;79,21%
CACHOEIRINHA;238166;146722;-91444;61,60%
CAMBUCI;37500;3060;-34440;8,16%
CAMPO BELO;6456;5320;-1136;82,40%
CAMPO GRANDE;39456;29924;-9532;75,84%
CAMPO LIMPO;25588;25032;-556;97,83%
CANGAIBA;100980;84900;-16080;84,08%
CAPAO REDONDO;383300;382734;-566;99,85%
CARRAO;40312;38220;-2092;94,81%
CASA VERDE;152238;93598;-58640;61,48%
CIDADE ADEMAR;345700;263702;-81998;76,28%
CIDADE DUTRA;273846;195012;-78834;71,21%
CIDADE LIDER;119966;113650;-6316;94,74%
CIDADE TIRADENTES;260120;237418;-22702;91,27%
CURSINO;48672;46786;-1886;96,13%
ERMELINO MATARAZZO;162660;156444;-6216;96,18%
FREGUESIA DO O;162966;99548;-63418;61,09%
GRAJAU;793634;600402;-193232;75,65%
GUAIANASES;176100;161256;-14844;91,57%
IGUATEMI;166692;111908;-54784;67,13%
IPIRANGA;146032;140270;-5762;96,05%
ITAIM BIBI;75042;61438;-13604;81,87%
ITAIM PAULISTA;217714;205410;-12304;94,35%
ITAQUERA;140188;133574;-6614;95,28%
JABAQUARA;206346;201200;-5146;97,51%
JACANA;142094;124992;-17102;87,96%
JAGUARA;58284;49356;-8928;84,68%
JAGUARE;49314;41888;-7426;84,94%
JARAGUA;217890;204772;-13118;93,98%
JARDIM ANGELA;474546;474514;-32;99,99%
JARDIM HELENA;140174;129126;-11048;92,12%
JARDIM SAO LUIZ;465760;429640;-36120;92,24%
JOSE BONIFACIO;47520;44118;-3402;92,84%
LAJEADO;153610;141508;-12102;92,12%
LAPA;106356;89020;-17336;83,70%
LIBERDADE;12570;0;-12570;0,00%
LIMAO;164556;96016;-68540;58,35%
MANDAQUI;21430;18520;-2910;86,42%
MARSILAC;21720;21640;-80;99,63%
MOOCA;18124;15580;-2544;85,96%
MORUMBI;18790;14140;-4650;75,25%
PARELHEIROS;291906;281994;-9912;96,60%
PARI;138742;127778;-10964;92,10%
PARQUE DO CARMO;138742;127778;-10964;92,10%
PEDREIRA;350228;269964;-80264;77,08%
PENHA;164021;131189;-32832;79,98%
PERDIZES;29210;24094;-5116;82,49%
PERUS;126372;121214;-5158;95,92%
PINHEIROS;24080;20950;-3130;87,00%
PIRITUBA;177414;171780;-5634;96,82%
PONTE RASA;74508;71280;-3228;95,67%
RAPOSO TAVARES;171518;131004;-40514;76,38%
REPUBLICA;21396;0;-21396;0,00%
RIO PEQUENO;114442;88930;-25512;77,71%
SACOMA;186504;180308;-6196;96,68%
SANTA CECILIA;93096;5436;-87660;5,84%
SANTANA;84108;74278;-9830;88,31%
SANTO AMARO;54310;27642;-26668;50,90%
SAO DOMINGOS;63534;60536;-2998;95,28%
SAO LUCAS;164598;159496;-5102;96,90%
SAO MATEUS;160944;112988;-47956;70,20%
SAO MIGUEL;139518;121658;-17860;87,20%
SAO RAFAEL;209152;147582;-61570;70,56%
SAPOPEMBA;432652;419626;-13026;96,99%
SAUDE;22960;22412;-548;97,61%
SE;147576;6182;-141394;4,19%
SOCORRO;23604;17202;-6402;72,88%
TATUAPE;22940;19670;-3270;85,75%
TREMEMBE;120240;104570;-15670;86,97%
TUCURUVI;35500;29860;-5640;84,11%
VILA CURUCA;249802;227046;-22756;90,89%
VILA FORMOSA;47916;45470;-2446;94,90%
VILA GUILHERME;100202;74306;-25896;74,16%
VILA JACUI;168836;155994;-12842;92,39%
VILA LEOPOLDINA;33590;28240;-5350;84,07%
VILA MARIA;142926;96350;-46576;67,41%
VILA MARIANA;24836;23558;-1278;94,85%
VILA MATILDE;94824;80274;-14550;84,66%
VILA MEDEIROS;100712;72412;-28300;71,90%
VILA PRUDENTE;86316;82704;-3612;95,82%
VILA SONIA;102078;76690;-25388;75,13%
